BoroCT2020,ScoreBaseSimilarPeopleRetirees,WeightForAggregation
4014800,40,2186
4014900,10,2477
4015000,80,2418
4015100,40,2675
4015200,40,2638
4015300,30,2131
4015400,60,2390
4015500,15,2344
4015600,50,3210
4015700,8,1655
4015801,50,3817
4015802,50,4607
4015900,25,4010
4016100,50,2291
4016300,90,4053
4016400,83,3306
4016600,85,3400
4016800,75,2764
4016900,85,5577
4017000,50,2504
4017200,67,2224
4017400,55,2423
4017600,40,2181
4017800,40,2084
4017901,40,986
4017902,60,124
4018000,67,1365
4018101,40,3836
4018102,25,3800
4018200,63,2540
4018300,60,6044
4018401,55,2174
4018402,40,2412
4018501,55,3502
4018502,25,3453
4018600,40,1802
4018700,40,3611
4018800,20,1510
4018900,25,3457
4019000,40,2445
4019200,67,2359
4019400,60,3015
4019600,20,3122
4019800,10,3682
4019901,20,1088
4019902,60,317
4020200,60,1693
4020400,20,2278
4020500,60,1184
4020600,25,2046
4020800,10,3513
4021200,20,2812
4021400,63,6673
4021601,50,2678
4021602,30,1506
4021900,0,31
4022001,25,6551
4022002,85,6010
4023000,70,1880
4023200,90,5264
4023501,30,4403
4023502,40,3373
4023600,55,3266
4023800,25,4863
4024000,50,6252
4024300,55,6231
4024500,83,5544
4024600,0,1
4024700,50,1537
4024900,80,5724
4025100,90,5818
4025301,25,4510
4025302,15,3013
4025401,25,3899
4025402,30,6180
4025500,55,1603
4025700,55,1648
4025800,50,2289
4025900,70,3542
4026000,10,2915
4026100,25,7802
4026200,30,1652
4026300,67,6631
4026400,63,2736
4026501,40,3213
4026502,30,1622
4026600,91,1949
4026700,40,6196
4026901,25,5210
4026902,25,4244
4027000,40,1960
4027101,40,5454
4027102,30,3112
4027200,55,2065
4027301,30,3673
4027302,30,4765
4027400,55,1927
4027500,30,6773
4027600,83,1365
4027701,30,3448
4027702,30,5196
4027800,70,2529
4027900,83,6358
4028000,50,1901
4028100,67,5991
4028200,60,1801
4028300,80,7523
4028400,60,3766
4028500,90,4858
4028700,60,6544
4028801,30,2940
4028802,30,1952
4028803,0,8
4028900,67,5202
4029100,30,7341
4029300,10,1457
4029400,20,8072
4029500,63,3826
4029700,50,2258
4030600,55,5287
4030903,30,6748
4030904,25,3724
4030905,30,3424
4030906,30,4924
4031700,83,6781
4032000,9,5200
4032700,63,3932
4032800,50,2660
4032900,10,4251
4033000,67,7365
4033401,40,4196
4033403,40,4874
4033404,40,4723
4033405,40,3653
4033700,50,3765
4033900,50,3481
4034700,67,3688
4035100,85,4178
4035200,75,2550
4035300,40,2828
4035700,63,5593
4035800,67,4508
4036100,25,2706
4036300,8,2462
4036500,7,4142
4036600,63,3003
4036700,40,3099
4036800,80,2513
4037100,40,1917
4037300,8,2887
4037501,25,1479
4037502,30,2778
4037600,70,6373
4037700,5,4493
4037900,20,6504
4038100,9,6966
4038301,0,2
4038400,50,2720
4039400,63,3332
4039800,50,1688
4039901,30,2875
4039902,25,2285
4040000,60,1474
4040101,30,2847
4040102,25,4808
4040200,85,1474
4040301,25,2768
4040302,25,4760
4040400,60,4270
4040501,25,1183
4040502,25,2175
4040701,25,3162
4040702,25,5131
4040901,30,1951
4040902,25,3534
4041100,9,4532
4041300,9,4752
4041400,40,4526
4041500,25,4365
4042400,90,2295
4042600,60,364
4042700,15,4998
4043200,50,1280
4043400,80,1717
4043701,55,3683
4043702,80,6998
4043900,9,4931
4044000,20,4783
4044301,55,4725
4044302,40,5373
4044400,15,4562
4044601,50,4013
4044602,25,5472
4044800,15,3063
4045000,70,2070
4045200,93,1209
4045400,40,5207
4045500,40,13200
4045600,90,1365
4045700,83,3536
4045800,40,2271
4045900,9,4150
4046000,55,6193
4046100,25,2903
4046200,50,8206
4046300,15,4541
4046400,55,1841
4046500,20,4276
4046600,60,3676
4046700,40,7281
4046800,63,4173
4046901,40,4346
4046902,40,4102
4047000,60,3343
4047100,30,4785
4047200,91,3861
4047300,70,4863
4047500,10,5489
4047600,91,1374
4047801,40,4065
4047802,40,1511
4047900,60,6837
4048000,80,2666
4048100,80,6321
4048200,80,1518
4048301,40,2145
4048302,40,2092
4048400,25,5569
4048500,50,5331
4048900,25,1937
4049201,40,2888
4049202,40,2018
4049301,60,2391
4049302,40,3498
4049500,75,1430
4049600,67,3251
4049700,30,3381
4049900,40,5477
4050000,55,4778
4050201,63,1678
4050202,63,1521
4050400,67,1872
4050500,40,1768
4050600,70,1635
4050700,67,3699
4050800,70,2084
4051000,85,1616
4051100,55,2494
4051200,50,2748
4051300,10,2638
4051500,60,3126
4051600,70,2069
4051700,75,2146
4051800,83,1948
4052000,50,1593
4052100,70,2197
4052200,85,1605
4052400,50,1945
4052500,30,2252
4052600,55,1958
4052800,60,1563
4053000,67,2393
4053100,25,3462
4053200,70,1886
4053401,80,2104
4053501,40,1058
4053601,70,1578
4053800,67,1648
4053901,40,3968
4053902,30,88
4054000,55,4632
4054200,70,5149
4054500,7,3648
4054700,20,4166
4054800,67,2336
4054900,20,4932
4055100,25,4574
4055200,80,3174
4055300,10,2856
4055400,83,2487
4055500,50,1935
4055600,83,2242
4055700,9,3966
4055800,90,1710
4055900,6,1178
4056000,75,1743
4056200,80,1460
4056400,70,1559
4056500,10,1681
4056600,75,1581
4056700,50,4751
4056800,67,4862
4057700,75,4023
4057900,25,1743
4058000,85,3589
4058100,30,2785
4058200,90,4509
4058300,55,3362
4058500,15,4128
4058700,60,3336
4058900,20,4308
4059000,92,1182
4059100,25,5226
4059200,90,1186
4059300,67,4092
4059400,91,1506
4059501,40,2091
4059502,30,2712
4059600,90,1373
4059800,60,1764
4059900,91,1594
4060000,83,1223
4060100,50,2414
4060300,40,1854
4060600,90,1328
4060800,88,1475
4061000,91,1204
4061200,92,1552
4061301,50,5763
4061400,90,1205
4061601,90,2095
4061602,75,1402
4061800,90,1736
4061900,55,3097
4062000,88,1419
4062100,40,3151
4062200,90,1979
4062300,63,1923
4062500,67,2625
4062600,75,2689
4062700,55,3010
4062900,55,3042
4063000,70,1602
4063200,85,2261
4063301,67,1587
4063302,60,1665
4063500,60,2784
4063700,85,3507
4063800,80,3584
4063900,70,2794
4064101,90,2378
4064500,67,2064
4064600,83,3025
4065000,67,2831
4065401,30,2836
4065402,0,5
4065600,40,5423
4065702,83,1775
4065703,70,2829
4065900,83,1850
4066000,67,3511
4066100,90,1573
4066301,40,2713
4066302,0,4
4066401,40,1923
4066402,30,3942
4066403,30,4480
4066501,88,3538
4066701,83,2789
4066900,60,1790
4067100,91,2248
4067700,90,1832
4067900,67,4397
4068000,75,5220
4068200,60,1262
4068300,91,4052
4068700,90,4597
4069000,60,3787
4069300,75,2887
4069400,70,3604
4069500,85,2451
4069701,70,4435
4069702,90,3929
4070300,85,2225
4070700,91,2426
4070900,67,2635
4071100,90,5687
4071303,83,5307
4071304,90,6386
4071305,55,5126
4071306,67,6181
4071701,85,5557
4071702,83,4660
4071900,70,2887
4072100,90,5040
4072300,91,2158
4072900,75,1490
4073100,80,1550
4073700,75,2277
4073900,90,5548
4074100,91,3164
4074300,75,4433
4074500,90,3659
4074700,80,3539
4074900,80,1563
4075701,88,5110
4075702,90,5071
4076901,70,4274
4076902,55,1390
4077300,80,2311
4077500,85,2241
4077902,55,5416
4077903,80,2937
4077904,67,6324
4077905,91,2586
4077906,70,3968
4077907,10,3349
4077908,15,3838
4078800,55,2002
4079000,20,2875
4079200,30,2717
4079701,90,7620
4079702,60,5002
4079900,55,3871
4080301,40,4828
4080302,83,3973
4080900,83,7591
4081400,10,4088
4081800,63,3873
4083700,50,6229
4083800,63,5194
4084000,63,6644
4084500,90,5516
4084601,67,3045
4084602,9,1496
4084901,40,3013
4084902,40,4466
4085300,83,5415
4085500,75,6889
4085700,75,5770
4085900,50,6162
4086100,88,2450
4086300,67,7118
4086400,30,2867
4086500,80,5224
4086900,40,2343
4087100,8,6373
4088400,91,7578
4088902,40,7015
4088903,50,4487
4089201,40,7404
4090700,67,1584
4091603,40,4456
4091900,75,6417
4092200,90,2208
4092500,55,4356
4092800,88,3204
4092900,25,7638
4093401,90,3732
4093402,90,3704
4093800,92,4460
4093900,50,6268
4094201,20,3729
4094202,25,4785
4094203,91,5676
4094500,67,4327
4094700,40,3035
4095400,40,6108
4096400,63,6353
4097202,7,3460
4097204,83,4078
4097205,20,4268
4097206,20,2910
4097300,90,2007
4098100,83,2353
4098700,83,2543
4099100,92,6642
4099200,25,4348
4099701,90,3075
4099703,91,3938
4099704,92,7280
4099705,85,2687
4099801,60,7853
4099802,90,5822
4100801,67,2496
4100803,25,4817
4100804,25,4315
4101002,83,4596
4101003,20,3943
4101004,25,6612
4101700,90,6307
4102900,91,3786
4103201,8,6986
4103202,50,6860
4103300,88,4459
4103900,83,6618
4104700,70,7907
4105900,90,3812
4107201,67,2370
4108500,70,2778
4109300,90,3139
4109700,83,1797
4109900,85,3538
4111300,85,2611
4112300,40,2126
4112900,80,2248
4113300,90,1554
4113900,80,3602
4114100,90,2580
4114700,85,1833
4115100,91,1087
4115500,63,2132
4115700,90,3529
4115900,88,3922
4116100,91,4585
4116301,40,5178
4116302,40,3461
4116700,15,2094
4117100,55,2837
4117500,85,5410
4118100,60,2015
4118500,50,2357
4118700,63,2648
4118900,70,2625
4119100,25,3694
4119300,50,2407
4119500,75,1445
4119900,67,1699
4120100,15,1840
4120300,90,1818
4120500,90,3144
4120701,40,3058
4120702,0,3
4121500,70,4737
4122300,90,3822
4122702,85,6959
4122703,30,6801
4122704,30,4444
4124100,80,4004
4124700,85,3734
4125700,20,3642
4126500,83,1595
4126700,8,4490
4127700,90,3600
4129102,90,3561
4129103,91,3811
4129104,90,4318
4130100,90,4203
4133300,90,3915
4133900,88,1360
4134100,88,3659
4134701,30,5561
4134702,30,5117
4136700,88,6250
4137700,63,7309
4138501,67,4994
4139900,90,1769
4140300,85,2406
4140901,91,1020
4140902,85,2906
4141700,90,4975
4142900,80,3897
4143500,90,2364
4144100,80,2957
4144700,75,3131
4145101,75,1501
4145102,63,2597
4145900,88,2870
4146300,91,2929
4146700,55,2807
4147100,90,3239
4147900,80,4279
4148300,90,2968
4150701,91,2919
4150702,91,3049
4152901,91,6382
4152902,90,5665
4155101,60,1945
4155103,50,4373
4155104,50,3616
4156700,88,1470
4157101,83,7561
4157102,55,2109
4157901,91,5184
4157902,92,3757
4157903,91,4489
4161700,90,4541
4162100,30,6682
5000300,60,2348
5000600,91,2859
5000700,63,5143
5000800,60,6268
5000900,15,2240
5001100,15,4234
5001700,63,1865
5001800,3,495
5002001,75,2524
5002002,90,3302
5002100,8,5467
5002700,85,2049
5002900,20,6871
5003300,55,3738
5003600,30,2792
5003900,63,2179
5004001,30,2775
5004002,30,3409
5004003,20,4851
5004004,30,2807
5004700,70,3126
5005000,67,4357
5005901,40,2854
5005902,0,5
5006400,60,3698
5006700,70,2927
5007001,40,2634
5007002,30,6215
5007400,67,4962
5007500,67,4200
5007700,8,1762
5008100,90,4822
5009601,91,4075
5009602,60,3767
5009701,25,4454
5010500,63,5597
5011201,85,5768
5011203,30,6791
5011401,60,3249
5011402,63,3738
5012100,90,3212
5012200,80,3938
5012500,25,3087
5012804,50,4644
5012805,80,2390
5012806,55,6659
5013201,85,1659
5013203,80,5790
5013204,75,5055
5013301,60,1631
5013302,7,3733
5013400,88,4204
5013800,90,6625
5014100,40,2868
5014604,90,6651
5014605,88,3785
5014606,80,6288
5014607,80,4650
5014608,60,3640
5014700,85,3451
5015100,70,5449
5015601,70,6663
5015602,88,3396
5015603,80,4776
5016901,63,3213
5017005,88,4845
5017007,20,5526
5017009,88,4473
5017011,90,4587
5017012,90,4473
5017013,30,4333
5017014,30,4327
5017015,40,2713
5017016,30,4637
5017300,70,2535
5017600,80,4932
5017701,40,4724
5017702,30,2353
5018100,91,3569
5018701,67,1836
5018703,25,3976
5018704,30,3780
5018901,70,5725
5018902,67,5533
5019700,80,1958
5019800,63,6627
5020100,20,3796
5020701,20,3942
5020702,25,3436
5020803,80,7348
5020804,90,5364
5020805,30,6433
5020806,30,2714
5021300,20,5737
5022300,8,3134
5022601,30,6945
5022602,40,1223
5023100,40,4959
5023900,40,3605
5024401,70,5687
5024402,70,4381
5024700,10,2893
5024800,55,4798
5025100,80,6030
5027301,75,4811
5027302,55,4242
5027702,67,6479
5027704,85,4612
5027705,80,5866
5027706,88,3043
5027900,92,2110
5029102,20,3394
5029104,80,7178
5029105,40,4257
5029106,30,3231
5030301,67,5130
5030302,25,6669
5031901,40,3262
5031902,9,5500
5032300,60,1233
