BoroCT2020,ScoreBaseSimilarPeopleRetirees,WeightForAggregation
2023800,10,2750
2023900,7,8213
2024000,8,4583
2024100,15,6331
2024300,20,5577
2024400,55,2407
2024501,10,5059
2024502,25,3797
2024600,60,2297
2024700,15,1921
2024800,83,3620
2024900,0,4
2025000,83,2672
2025100,20,6924
2025200,63,2682
2025300,9,6234
2025400,80,2163
2025500,9,8092
2025600,40,1908
2025700,10,1809
2026100,91,2060
2026300,75,6788
2026400,70,5693
2026500,10,7166
2026601,83,3328
2026602,63,6409
2026701,20,3983
2026702,25,7022
2026900,25,4126
2027300,63,7939
2027401,75,5136
2027402,91,3553
2027700,40,4968
2027900,80,8145
2028100,92,3720
2028300,85,2084
2028400,100,297
2028500,50,3440
2028600,70,1395
2028700,25,3953
2028800,83,3055
2028900,63,4736
2029301,93,1954
2029302,91,5248
2029500,70,4615
2029600,8,2878
2029700,91,4005
2030000,70,6591
2030100,92,1627
2030201,40,4048
2030202,40,6063
2030701,91,5799
2030900,93,3947
2031000,92,4372
2031200,75,1555
2031400,91,2071
2031600,50,2071
2031800,91,1961
2031900,60,454
2032300,92,5001
2032400,55,3113
2032600,80,3494
2032800,50,4133
2033000,67,5837
2033201,83,4103
2033202,90,4204
2033500,7,4339
2033601,30,4306
2033602,30,1555
2033700,50,3838
2033801,25,2337
2033802,25,1737
2034000,30,4858
2034200,75,1732
2034300,83,1706
2034400,63,1930
2034500,90,3754
2034800,67,6640
2035000,60,2284
2035100,30,3539
2035600,70,2261
2035800,90,7542
2035900,10,3731
2036000,88,3024
2036100,70,5569
2036300,25,7074
2036400,80,2603
2036501,60,3897
2036502,9,2449
2036700,7,2672
2036800,60,2165
2036901,60,1910
2036902,15,2324
2037000,67,2536
2037100,67,4504
2037200,40,2289
2037300,10,6117
2037400,63,3890
2037504,30,4023
2037600,50,2274
2037800,25,3569
2037900,7,6878
2038000,55,4938
2038100,25,6853
2038200,50,2852
2038301,9,4635
2038303,25,3468
2038304,20,2508
2038500,10,5362
2038600,67,7949
2038700,6,3401
2038800,70,2941
2038900,7,4819
2039000,15,3323
2039100,20,7210
2039200,10,1809
2039300,40,8033
2039400,55,4647
2039500,30,4254
2039600,55,4485
2039700,6,4492
2039800,50,3347
2039901,50,5254
2039902,10,5548
2040100,8,5009
2040302,10,4197
2040303,30,4843
2040304,7,4125
2040400,70,3530
2040501,25,4385
2040502,25,7320
2040600,75,3792
2040701,20,3235
2040702,75,6968
2040800,10,4475
2040900,55,3580
2041100,55,3215
2041300,10,7781
2041400,80,5342
2041500,25,5872
2041800,15,3752
2041900,10,7205
2042000,50,3905
2042100,15,6135
2042200,60,3211
2042300,30,4179
2042400,75,2553
2042500,8,7667
2042600,83,6982
2042800,90,2230
2042901,25,3711
2042902,25,4334
2043000,85,2952
2043101,25,5185
2043102,30,5050
2043400,60,3649
2043501,20,1192
2043600,75,2061
2044200,55,3877
2044400,70,3984
2044800,90,2007
2044901,75,1946
2044902,50,2229
2045101,67,1817
2045102,75,2142
2045600,70,3056
2045800,30,5662
2046000,75,2890
2046203,50,6599
2046204,40,5552
2046205,40,4445
2046206,40,4434
2046207,40,6228
2046208,30,5155
2046209,25,3707
2048401,30,3888
2048402,0,41
2051601,40,4445
3000100,83,4616
3000200,8,1205
3000301,83,3850
3000501,67,4404
3000502,83,2640
3000700,9,4415
3000900,9,5167
3001100,2,1578
3001300,75,2465
3001501,40,5161
3001502,50,5801
3001801,60,2563
3001802,0,6
3001803,0,16
3002000,5,1694
3002100,3,5975
3002200,70,4589
3002300,67,3940
3002901,55,3149
3003000,67,1811
3003101,50,3395
3003300,7,4807
3003400,63,3489
3003500,25,2402
3003600,83,3959
3003700,2,4565
3003800,90,1529
3003900,8,2644
3004100,60,3398
3004300,8,3810
3004400,90,2448
3004500,55,3476
3004600,91,1154
3004700,9,1951
3004900,88,2412
3005000,70,2535
3005100,9,2658
3005201,93,1879
3005202,90,2668
3005301,30,2164
3005302,50,86
3005400,88,3426
3005601,91,2692
3005602,90,1734
3005800,63,3450
3005900,10,1742
3006000,25,2876
3006200,60,2958
3006300,20,2007
3006400,75,3623
3006500,40,5461
3006600,50,3974
3006700,25,3618
3006800,50,5491
3006901,40,1631
3006902,30,1962
3007000,90,2454
3007100,63,4362
3007200,7,2082
3007400,25,5829
3007500,30,4691
3007600,50,4872
3007700,25,5690
3007800,15,5333
3008000,50,4024
3008200,10,4008
3008400,63,3311
3008500,67,6673
3008800,20,3258
3009001,25,1886
3009002,25,1391
3009201,30,2087
3009202,25,3424
3009401,25,3127
3009402,25,3168
3009600,40,6462
3009800,7,7440
3010000,20,7741
3010100,15,4590
3010200,8,6578
3010401,25,3015
3010402,25,2965
3010601,30,3037
3010602,30,2820
3010801,25,2876
3010802,30,2840
