BoroCT2020,ScoreBaseSimilarPeopleYoungAdults,WeightForAggregation
1014801,40,3221
1014802,91,7494
1014900,63,6351
1015001,8,2321
1015002,8,5642
1015101,45,3756
1015102,45,8254
1015200,92,7730
1015301,50,3684
1015302,50,6032
1015401,50,5189
1015402,50,4503
1015403,45,5738
1015501,50,5091
1015502,50,5759
1015601,91,5568
1015602,30,2154
1015700,92,11197
1015801,80,5600
1015802,90,4516
1015900,90,10054
1016001,5,3852
1016002,73,3607
1016100,90,6617
1016200,91,9033
1016300,87,7292
1016400,90,7371
1016500,87,6659
1016600,91,7012
1016700,83,7210
1016800,45,4964
1016900,92,8526
1017000,91,7991
1017100,90,9694
1017200,87,5441
1017300,91,8699
1017401,45,5449
1017402,40,2276
1017500,91,11110
1017700,90,9382
1017800,81,3860
1017900,90,9103
1018000,91,7429
1018100,91,8941
1018200,92,7675
1018300,92,8534
1018400,90,7820
1018500,87,5243
1018600,90,5127
1018700,87,9383
1018800,90,5697
1018900,93,11556
1019000,45,3679
1019100,91,9005
1019200,40,3971
1019300,94,8736
1019400,86,6978
1019500,90,7828
1019600,75,4031
1019701,8,1278
1019702,67,2601
1019800,45,2370
1019900,92,9598
1020000,73,2855
1020101,27,1863
1020102,81,4077
1020300,70,3874
1020500,70,5023
1020600,50,3628
1020701,84,3035
1020800,91,5255
1020901,40,3665
1021000,86,6748
1021100,96,10529
1021200,63,4899
1021303,91,5583
1021400,70,3075
1021500,83,3856
1021600,92,8567
1021703,63,545
1021800,90,6530
1021900,87,5696
1022000,91,6114
1022102,45,2382
1022200,60,3293
1022301,92,7258
1022302,70,3101
1022400,91,7346
1022500,94,9895
1022600,83,4890
1022700,87,5387
1022800,91,5961
1022900,93,7975
1023000,92,9111
1023100,91,6273
1023200,93,8061
1023300,92,6368
1023400,84,5112
1023501,92,6720
1023502,45,2206
1023600,90,9907
1023700,91,6792
1023802,80,4791
1023803,60,3625
1023804,45,3306
1023900,50,2675
1024100,92,7612
1024200,83,4448
1024301,84,3993
1024302,86,7237
1024500,98,13385
1024700,91,6521
1024900,20,1084
1025100,50,2287
1025300,98,10081
1025500,92,5697
1025700,81,4270
1025900,60,4029
1026100,95,10733
1026300,93,7969
1026500,92,6850
1026700,30,2083
1026900,92,7848
1027100,92,7623
1027300,91,6519
1027500,30,3063
1027700,81,6423
1027900,94,10019
1028100,60,3108
1028300,91,7740
1028500,91,6794
1028700,75,3772
1029100,95,10509
1029300,91,8035
1029500,92,7039
1029900,30,3598
1030300,81,3691
1030700,63,3427
1030900,92,8594
1031703,86,5847
1031704,92,10422
2000100,63,3772
2000200,45,4779
2000400,75,6272
2001600,70,5795
2001901,40,2292
2001902,45,1613
2001903,0,2
2002001,40,5007
2002002,40,4584
2002300,63,4742
2002500,83,5442
2002701,27,3080
2002702,75,4995
2002800,80,5853
2003100,20,2964
2003300,30,3689
2003500,63,3726
2003700,40,340
2003800,7,1683
2003900,90,6345
2004001,7,1739
2004100,84,6146
2004200,90,7201
2004300,78,5883
2004400,70,4642
2004600,20,1976
2004800,80,4184
2005001,73,4960
2005002,84,6518
2005100,86,6459
2005200,20,2130
2005300,73,4371
2005400,81,6804
2005600,23,2863
2005902,30,2577
2006000,8,1262
2006100,40,3444
2006200,90,6769
2006301,40,6567
2006400,27,4186
2006500,83,6251
2006700,89,6893
2006800,63,3419
2006900,91,6964
2007000,73,5021
2007100,30,2789
2007200,90,6291
2007300,73,4205
2007400,45,3536
2007500,90,6749
2007600,87,5682
2007700,23,1974
2007800,89,7037
2007900,91,6826
2008300,90,6122
2008400,40,2587
2008500,81,5894
2008600,45,4145
2008700,86,5976
2008900,45,3118
2009000,45,3911
2009200,83,6271
2009301,40,5551
2009302,63,512
2009600,27,2946
2009800,60,5903
2011502,73,4396
2011701,40,1554
2011800,67,5324
2011900,83,5703
2012101,45,3319
2012102,20,1616
2012300,67,4766
2012500,70,4139
2012701,20,2184
2012901,63,4923
2013000,15,1198
2013100,80,5390
2013200,86,6652
2013300,84,6064
2013500,45,4001
2013800,20,3060
2014100,87,7344
2014300,8,1898
2014400,70,6046
2014500,89,7055
2014701,90,6361
2014702,86,5081
2014900,67,4723
2015100,81,5957
2015200,20,2593
2015300,80,4258
2015500,30,2891
2015700,84,5542
2015800,7,1442
2015900,10,2481
2016000,30,4003
2016100,73,5243
2016200,8,1908
2016400,3,1221
2016500,8,1097
2016600,10,2625
2016700,60,3373
2016900,10,1586
2017300,70,6395
2017500,90,6988
2017701,78,4754
2017702,81,4979
2017901,78,5124
2017902,67,3447
2018101,60,3299
2018102,75,5510
2018301,60,4423
2018302,63,3686
2018400,60,4329
2018501,40,3076
2018502,40,6442
2018900,91,8360
2019300,89,6020
2019400,23,2022
2019500,87,7509
2019700,91,7213
2019900,91,7909
2020000,73,5235
2020100,60,4345
2020200,27,2789
2020400,50,3129
2020501,90,7859
2020502,20,2462
2020601,30,3277
2020900,63,4823
2021001,91,8946
2021002,91,7855
2021100,78,5822
2021200,63,6596
2021301,7,1264
2021302,86,5830
2021501,73,4078
2021502,83,6360
2021601,80,4701
2021602,86,6237
2021700,81,5006
2021800,90,6610
2021900,7,1176
2022000,15,2511
2022101,70,4001
2022102,78,5457
2022200,60,3968
2022300,81,5063
2022401,30,2787
2022403,60,3275
2022404,70,4489
2022500,91,8141
2022701,86,5669
2022702,20,1634
2022703,10,1699
2022800,87,6336
2022901,89,5766
2022902,63,3401
2023000,40,3001
2023100,8,1464
2023200,15,3000
2023301,67,4577
2023302,70,3574
2023501,40,3570
2023502,45,4417
2023600,23,2204
2023702,8,1179
2023703,89,5086
2023704,67,3970
2023800,27,2750
2023900,91,8213
2024000,70,4583
2024100,90,6331
2024300,80,5577
2024400,23,2407
2024501,80,5059
2024502,60,3797
2024600,15,2297
2024700,20,1921
2024800,40,3620
2024900,0,4
2025000,23,2672
2025100,91,6924
2025200,40,2682
2025300,89,6234
2025400,20,2163
2025500,90,8092
2025600,20,1908
2025700,45,1809
2026100,8,2060
2026300,78,6788
2026400,70,5693
2026500,92,7166
2026601,50,3328
2026602,80,6409
2026701,73,3983
2026702,91,7022
2026900,70,4126
2027300,90,7939
2027401,45,5136
2027402,30,3553
2027700,73,4968
2027900,87,8145
2028100,40,3720
2028300,45,2084
2028400,2,297
2028500,75,3440
2028600,5,1395
2028700,40,3953
2028800,63,3055
