BoroCT2020,ScoreBaseSimilarPeopleYoungAdults,WeightForAggregation
4014700,67,2933
4014800,10,2186
4014900,30,2477
4015000,27,2418
4015100,63,2675
4015200,50,2638
4015300,45,2131
4015400,23,2390
4015500,60,2344
4015600,30,3210
4015700,20,1655
4015801,60,3817
4015802,73,4607
4015900,73,4010
4016100,30,2291
4016300,50,4053
4016400,50,3306
4016600,75,3400
4016800,45,2764
4016900,87,5577
4017000,30,2504
4017200,10,2224
4017400,20,2423
4017600,15,2181
4017800,27,2084
4017901,50,986
4017902,63,124
4018000,7,1365
4018101,78,3836
4018102,73,3800
4018200,23,2540
4018300,90,6044
4018401,20,2174
4018402,27,2412
4018501,67,3502
4018502,50,3453
4018600,15,1802
4018700,67,3611
4018800,10,1510
4018900,67,3457
4019000,40,2445
4019200,15,2359
4019400,27,3015
4019600,50,3122
4019800,30,3682
4019901,30,1088
4019902,63,317
4020200,15,1693
4020400,23,2278
4020500,5,1184
4020600,20,2046
4020800,60,3513
4021200,40,2812
4021400,91,6673
4021601,60,2678
4021602,45,1506
4021900,0,31
4022001,91,6551
4022002,90,6010
4023000,20,1880
4023200,83,5264
4023501,45,4403
4023502,45,3373
4023600,50,3266
4023800,81,4863
4024000,91,6252
4024300,75,6231
4024500,67,5544
4024600,0,1
4024700,10,1537
4024900,70,5724
4025100,70,5818
4025301,75,4510
4025302,63,3013
4025401,40,3899
4025402,40,6180
4025500,20,1603
4025700,10,1648
4025800,23,2289
4025900,60,3542
4026000,40,2915
4026100,87,7802
4026200,7,1652
4026300,83,6631
4026400,23,2736
4026501,45,3213
4026502,40,1622
4026600,7,1949
4026700,83,6196
4026901,84,5210
4026902,60,4244
4027000,20,1960
4027101,45,5454
4027102,40,3112
4027200,15,2065
4027301,40,3673
4027302,45,4765
4027400,10,1927
4027500,90,6773
4027600,15,1365
4027701,45,3448
4027702,45,5196
4027800,20,2529
4027900,86,6358
4028000,20,1901
4028100,60,5991
4028200,10,1801
4028300,91,7523
4028400,63,3766
4028500,70,4858
4028700,81,6544
4028801,45,2940
4028802,45,1952
4028803,0,8
4028900,78,5202
4029100,78,7341
4029300,8,1457
4029400,86,8072
4029500,45,3826
4029700,20,2258
4030600,60,5287
4030903,80,6748
4030904,30,3724
4030905,45,3424
4030906,45,4924
4031700,70,6781
4032000,83,5200
4032700,60,3932
4032800,27,2660
4032900,63,4251
4033000,86,7365
4033401,60,4196
4033403,50,4874
4033404,50,4723
4033405,45,3653
4033700,30,3765
4033900,27,3481
4034700,27,3688
4035100,30,4178
4035200,23,2550
4035300,23,2828
4035700,40,5593
4035800,50,4508
4036100,27,2706
4036300,10,2462
4036500,40,4142
4036600,23,3003
4036700,20,3099
4036800,15,2513
4037100,7,1917
4037300,27,2887
4037501,40,1479
4037502,45,2778
4037600,78,6373
4037700,73,4493
4037900,91,6504
4038100,90,6966
4038301,0,2
4038400,20,2720
4039400,27,3332
4039800,8,1688
4039901,40,2875
4039902,40,2285
4040000,8,1474
4040101,40,2847
4040102,40,4808
4040200,10,1474
4040301,40,2768
4040302,40,4760
4040400,45,4270
4040501,40,1183
4040502,40,2175
4040701,40,3162
4040702,40,5131
4040901,40,1951
4040902,40,3534
4041100,50,4532
4041300,80,4752
4041400,67,4526
4041500,63,4365
4042400,20,2295
4042600,63,364
4042700,80,4998
4043200,7,1280
4043400,10,1717
4043701,23,3683
4043702,90,6998
4043900,60,4931
4044000,70,4783
4044301,67,4725
4044302,67,5373
4044400,60,4562
4044601,30,4013
4044602,80,5472
4044800,30,3063
4045000,20,2070
4045200,5,1209
4045400,67,5207
4045500,95,13200
4045600,8,1365
4045700,63,3536
4045800,27,2271
4045900,70,4150
4046000,84,6193
4046100,30,2903
4046200,90,8206
4046300,50,4541
4046400,10,1841
4046500,80,4276
4046600,45,3676
4046700,83,7281
4046800,30,4173
4046901,45,4346
4046902,45,4102
4047000,27,3343
4047100,67,4785
4047200,30,3861
4047300,73,4863
4047500,78,5489
4047600,7,1374
4047801,50,4065
4047802,45,1511
4047900,60,6837
4048000,20,2666
4048100,81,6321
4048200,7,1518
4048301,50,2145
4048302,45,2092
4048400,78,5569
4048500,70,5331
4048900,10,1937
4049201,45,2888
4049202,50,2018
4049301,15,2391
4049302,50,3498
4049500,8,1430
4049600,30,3251
4049700,45,3381
4049900,86,5477
4050000,73,4778
4050201,10,1678
4050202,8,1521
4050400,10,1872
4050500,15,1768
4050600,8,1635
4050700,50,3699
4050800,8,2084
4051000,10,1616
4051100,10,2494
4051200,27,2748
4051300,23,2638
4051500,45,3126
4051600,20,2069
4051700,15,2146
4051800,15,1948
4052000,8,1593
4052100,15,2197
4052200,8,1605
4052400,15,1945
4052500,30,2252
4052600,15,1958
4052800,8,1563
4053000,23,2393
4053100,45,3462
4053200,8,1886
4053401,15,2104
4053501,50,1058
4053601,23,1578
4053800,10,1648
4053901,45,3968
4053902,45,88
4054000,67,4632
4054200,63,5149
4054500,80,3648
4054700,86,4166
4054800,27,2336
4054900,91,4932
4055100,78,4574
4055200,30,3174
4055300,70,2856
4055400,23,2487
4055500,27,1935
4055600,8,2242
4055700,81,3966
4055800,8,1710
4055900,15,1178
4056000,15,1743
4056200,8,1460
4056400,7,1559
4056500,15,1681
4056600,8,1581
4056700,73,4751
4056800,73,4862
4057700,45,4023
4057900,15,1743
4058000,73,3589
4058100,50,2785
4058200,67,4509
4058300,63,3362
4058500,75,4128
4058700,63,3336
4058900,90,4308
4059000,8,1182
4059100,90,5226
4059200,7,1186
4059300,67,4092
4059400,15,1506
4059501,45,2091
4059502,45,2712
4059600,7,1373
4059800,10,1764
4059900,7,1594
4060000,7,1223
4060100,15,2414
4060300,30,1854
4060600,7,1328
4060800,7,1475
4061000,8,1204
4061200,10,1552
4061301,83,5763
4061400,8,1205
4061601,15,2095
4061602,5,1402
4061800,10,1736
4061900,27,3097
4062000,5,1419
4062100,30,3151
4062200,10,1979
4062300,23,1923
4062500,30,2625
4062600,27,2689
4062700,40,3010
4062900,40,3042
4063000,8,1602
4063200,23,2261
4063301,10,1587
4063302,7,1665
4063500,20,2784
4063700,27,3507
4063800,50,3584
4063900,40,2794
4064101,15,2378
4064500,10,2064
4064600,23,3025
4065000,20,2831
4065401,45,2836
4065402,0,5
4065600,50,5423
4065702,8,1775
4065703,23,2829
4065900,10,1850
4066000,27,3511
4066100,8,1573
4066301,45,2713
4066302,0,4
4066401,50,1923
4066402,45,3942
4066403,45,4480
4066501,45,3538
4066701,20,2789
4066900,10,1790
4067100,20,2248
4067700,10,1832
4067900,63,4397
4068000,73,5220
4068200,5,1262
4068300,60,4052
4068700,50,4597
4069000,63,3787
4069300,27,2887
4069400,40,3604
4069500,15,2451
4069701,75,4435
4069702,27,3929
4070300,15,2225
4070700,10,2426
4070900,40,2635
4071100,87,5687
4071303,78,5307
4071304,83,6386
4071305,83,5126
4071306,91,6181
4071701,75,5557
4071702,67,4660
4071900,27,2887
4072100,63,5040
4072300,8,2158
4072900,8,1490
4073100,8,1550
4073700,23,2277
4073900,75,5548
4074100,30,3164
4074300,60,4433
4074500,50,3659
4074700,45,3539
4074900,8,1563
4075701,70,5110
4075702,67,5071
4076901,67,4274
4076902,8,1390
4077300,15,2311
4077500,20,2241
4077902,80,5416
4077903,45,2937
4077904,80,6324
4077905,20,2586
4077906,45,3968
4077907,60,3349
4077908,63,3838
4078800,10,2002
4079000,27,2875
4079200,15,2717
4079701,75,7620
4079702,75,5002
4079900,30,3871
4080301,73,4828
4080302,40,3973
4080900,70,7591
4081400,67,4088
4081800,50,3873
4083700,73,6229
4083800,70,5194
4084000,81,6644
4084500,70,5516
4084601,40,3045
4084602,5,1496
4084901,50,3013
4084902,50,4466
4085300,73,5415
4085500,78,6889
4085700,73,5770
4085900,75,6162
4086100,15,2450
4086300,84,7118
4086400,30,2867
4086500,70,5224
4086900,23,2343
4087100,45,6373
4088400,80,7578
4088902,50,7015
4088903,50,4487
4089201,45,7404
4090700,7,1584
4091603,50,4456
4091900,63,6417
4092200,5,2208
4092500,40,4356
4092800,15,3204
4092900,86,7638
4093401,27,3732
4093402,67,3704
4093800,30,4460
4093900,80,6268
4094201,30,3729
4094202,67,4785
4094203,83,5676
4094500,27,4327
4094700,20,3035
4095400,83,6108
4096400,78,6353
4097202,40,3460
4097204,45,4078
4097205,30,4268
4097206,30,2910
4097300,8,2007
4098100,7,2353
4098700,10,2543
4099100,75,6642
4099200,63,4348
4099701,30,3075
4099703,27,3938
4099704,67,7280
4099705,23,2687
4099801,91,7853
4099802,83,5822
4100801,20,2496
4100803,40,4817
4100804,40,4315
4101002,30,4596
4101003,30,3943
4101004,40,6612
4101700,63,6307
4102900,8,3786
4103201,90,6986
4103202,91,6860
4103300,60,4459
4103900,80,6618
4104700,80,7907
4105900,27,3812
4107201,10,2370
4108500,15,2778
4109300,20,3139
4109700,7,1797
4109900,27,3538
4111300,20,2611
4112300,23,2126
4112900,15,2248
4113300,8,1554
4113900,60,3602
4114100,8,2580
4114700,7,1833
4115100,3,1087
4115500,15,2132
4115700,30,3529
4115900,67,3922
4116100,45,4585
4116301,50,5178
4116302,50,3461
4116700,15,2094
4117100,23,2837
4117500,67,5410
4118100,15,2015
4118500,20,2357
4118700,27,2648
4118900,15,2625
4119100,30,3694
4119300,27,2407
4119500,8,1445
4119900,10,1699
4120100,8,1840
4120300,10,1818
4120500,10,3144
4120701,50,3058
4120702,0,3
4121500,67,4737
4122300,30,3822
4122702,87,6959
4122703,45,6801
4122704,45,4444
4124100,60,4004
4124700,23,3734
4125700,30,3642
4126500,10,1595
4126700,40,4490
4127700,20,3600
4129102,10,3561
4129103,30,3811
4129104,67,4318
4130100,30,4203
4133300,30,3915
4133900,3,1360
4134100,30,3659
4134701,45,5561
4134702,40,5117
4136700,60,6250
4137700,81,7309
4138501,50,4994
4139900,7,1769
4140300,10,2406
4140901,3,1020
4140902,20,2906
4141700,60,4975
4142900,30,3897
4143500,15,2364
4144100,15,2957
4144700,27,3131
4145101,3,1501
4145102,27,2597
4145900,15,2870
4146300,23,2929
4146700,60,2807
4147100,20,3239
4147900,63,4279
4148300,15,2968
4150701,27,2919
4150702,15,3049
4152901,80,6382
4152902,40,5665
4155101,63,1945
4155103,50,4373
4155104,50,3616
4156700,7,1470
4157101,91,7561
4157102,20,2109
4157901,50,5184
4157902,50,3757
4157903,45,4489
4161700,40,4541
4162100,90,6682
5000300,27,2348
5000600,15,2859
5000700,73,5143
5000800,78,6268
5000900,8,2240
5001100,40,4234
5001700,5,1865
5001800,7,495
5002001,27,2524
5002002,30,3302
5002100,73,5467
5002700,8,2049
5002900,75,6871
5003300,40,3738
5003600,30,2792
5003900,40,2179
5004001,40,2775
5004002,45,3409
5004003,30,4851
5004004,40,2807
5004700,27,3126
5005000,45,4357
5005901,45,2854
5005902,0,5
5006400,45,3698
5006700,23,2927
5007001,45,2634
5007002,45,6215
5007400,70,4962
5007500,50,4200
5007700,8,1762
5008100,30,4822
5009601,67,4075
5009602,30,3767
5009701,40,4454
5010500,40,5597
5011201,78,5768
5011203,45,6791
5011401,27,3249
5011402,27,3738
5012100,23,3212
5012200,40,3938
5012500,40,3087
5012804,63,4644
5012805,23,2390
5012806,40,6659
5013201,8,1659
5013203,67,5790
5013204,67,5055
5013301,5,1631
5013302,40,3733
5013400,40,4204
5013800,75,6625
5014100,20,2868
5014604,80,6651
5014605,30,3785
5014606,75,6288
5014607,45,4650
5014608,30,3640
5014700,30,3451
5015100,78,5449
5015601,67,6663
5015602,40,3396
5015603,63,4776
5016901,50,3213
5017005,67,4845
5017007,75,5526
5017009,20,4473
5017011,60,4587
5017012,67,4473
5017013,45,4333
5017014,45,4327
5017015,45,2713
5017016,45,4637
5017300,10,2535
5017600,60,4932
5017701,45,4724
5017702,45,2353
5018100,15,3569
5018701,10,1836
5018703,40,3976
5018704,45,3780
5018901,60,5725
5018902,75,5533
5019700,8,1958
5019800,86,6627
5020100,45,3796
5020701,30,3942
5020702,40,3436
5020803,86,7348
5020804,63,5364
5020805,45,6433
5020806,45,2714
5021300,67,5737
5022300,27,3134
5022601,40,6945
5022602,50,1223
5023100,78,4959
5023900,60,3605
5024401,75,5687
5024402,45,4381
5024700,40,2893
5024800,67,4798
5025100,86,6030
5027301,20,4811
5027302,45,4242
5027702,81,6479
5027704,60,4612
5027705,78,5866
5027706,45,3043
5027900,7,2110
5029102,23,3394
5029104,81,7178
5029105,45,4257
5029106,45,3231
5030301,75,5130
5030302,90,6669
5031901,23,3262
5031902,78,5500
5032300,3,1233
