BoroCT2020,ScoreBaseHighSchools,WeightForAggregation
1013400,90,"0,2"
1013501,90,"0,2"
1013502,90,"0,2"
1013601,90,0
1013602,90,"0,1"
1013603,90,"0,1"
1013604,90,"0,1"
1013700,90,"0,2"
1013800,90,"0,2"
1013900,90,"0,2"
1014000,90,"0,2"
1014200,90,"0,2"
1014401,90,"0,1"
1014402,90,"0,2"
1014500,90,"0,2"
1014601,90,"0,1"
1014602,90,"0,1"
1014700,90,"0,1"
1014801,90,"0,1"
1014802,90,"0,1"
1014900,90,"0,2"
1015001,90,"0,1"
1015002,90,"0,1"
1015101,90,"0,1"
1015102,90,"0,2"
1015200,100,"0,2"
1015301,90,"0,1"
1015302,90,"0,1"
1015401,90,"0,1"
1015402,90,"0,1"
1015403,90,"0,1"
1015501,90,"0,1"
1015502,90,"0,1"
1015601,90,"0,1"
1015602,90,"0,1"
1015700,90,"0,2"
1015801,90,"0,1"
1015802,90,"0,1"
1015900,90,"0,2"
1016001,90,"0,1"
1016002,90,"0,1"
1016100,90,"0,2"
1016200,90,"0,3"
1016300,90,"0,3"
1016400,90,"0,2"
1016500,90,"0,2"
1016600,90,"0,2"
1016700,90,"0,2"
1016800,90,"0,2"
1016900,90,"0,2"
1017000,90,"0,2"
1017100,90,"0,2"
1017200,90,"0,2"
1017300,90,"0,2"
1017401,90,"0,1"
1017402,90,"0,1"
1017500,90,"0,2"
1017700,90,"0,2"
1017800,90,"0,2"
1017900,90,"0,2"
1018000,90,"0,2"
1018100,90,"0,1"
1018200,90,"0,2"
1018300,90,"0,2"
1018400,90,"0,2"
1018500,90,"0,1"
1018600,90,"0,1"
1018700,90,"0,2"
1018800,90,"0,1"
1018900,90,"0,3"
1019000,90,"0,1"
1019100,90,"0,2"
1019200,100,"0,2"
1019300,90,"0,2"
1019400,90,"0,2"
1019500,90,"0,2"
1019600,90,"0,2"
1019701,90,"0,2"
1019702,90,0
1019800,90,"0,2"
1019900,90,"0,2"
1020000,90,"0,1"
1020101,90,"0,1"
1020102,90,"0,1"
1020300,90,"0,2"
1020500,90,"0,3"
1020600,90,"0,1"
1020701,90,0
1020800,90,"0,1"
1020901,90,"0,1"
1021000,90,"0,2"
1021100,90,"0,3"
1021200,90,"0,2"
1021303,90,"0,2"
1021400,90,"0,1"
1021500,90,"0,1"
1021600,90,"0,2"
1021703,90,"0,3"
1021800,90,"0,2"
1021900,90,"0,3"
1022000,90,"0,2"
1022102,90,"0,1"
1022200,90,"0,2"
1022301,90,"0,2"
1022302,90,"0,1"
1022400,90,"0,2"
1022500,90,"0,3"
1022600,90,"0,2"
1022700,90,"0,2"
1022800,90,"0,2"
1022900,90,"0,2"
1023000,90,"0,2"
1023100,90,"0,2"
